# University Ranking Results - www.universityrankings.ch
# Ranking: QS
# Year: 2020
#
   #    ,  World Rank                   ,  Institution                   ,  Country                   ,   
  1,1  ,  Massachusetts Institute of Technology - MIT  , USA    
  2,2  ,  Stanford University  , USA    
  3,3  ,  Harvard University  , USA    
  4,5  ,  California Institute of Technology - Caltech  , USA    
  5,10  ,  University of Chicago  , USA    
  6,13  ,  Princeton University  , USA    
  7,14  ,  Cornell University  , USA    
  8,15  ,  University of Pennsylvania  , USA    
  9,17  ,  Yale University  , USA    
  10,18  ,  Columbia University  , USA    
  11,21  ,  University of Michigan - Ann Arbor  , USA    
  12,24  ,  Johns Hopkins University  , USA    
  13,25  ,  Duke University  , USA    
  14,28  ,  University of California - Berkeley  , USA    
  15,31  ,  Northwestern University  , USA    
  16,35  ,  University of California - Los Angeles  , USA    
  17,39  ,  New York University  , USA    
  18,45  ,  University of California - San Diego  , USA    
  19,48  ,  Carnegie Mellon University  , USA    
  20,56  ,  University of Wisconsin-Madison  , USA    
  21,57  ,  Brown University  , USA    
  22,65  ,  University of Texas at Austin  , USA    
  23,68  ,  University of Washington  , USA    
  24,72  ,  Georgia Institute of Technology  , USA    
  25,75  ,  University of Illinois at Urbana-Champaign  , USA    
  26,85  ,  Rice University  , USA    
  27,90  ,  University of North Carolina at Chapel Hill  , USA    
  28,93  ,  Pennsylvania State University  , USA    
  29,98  ,  Boston University  , USA    
  30,101  ,  Ohio State University  , USA    
  31,104  ,  University of California - Davis  , USA    
  32,108  ,  Washington University in St. Louis  , USA    
  33,111  ,  Purdue University  , USA    
  34,129  ,  University of Southern California  , USA    
  35,135  ,  University of California - Santa Barbara  , USA    
  36,136  ,  University of Maryland at College Park  , USA    
  37,140  ,  University of Pittsburgh  , USA    
  38,144  ,  Michigan State University  , USA    
  39,156  ,  University of Minnesota  , USA    
  40,156  ,  Emory University  , USA    
  41,167  ,  University of Florida  , USA    
  42,171  ,  University of Rochester  , USA    
  43,179  ,  Case Western Reserve University  , USA    
  44,189  ,  Texas A&M University  , USA    
  45,198  ,  University of Virginia  , USA    
  46,200  ,  Vanderbilt University  , USA    
  47,206  ,  University of Colorado at Boulder  , USA    
  48,207  ,  Dartmouth College  , USA    
  49,210  ,  University of Notre Dame  , USA    
  50,215  ,  Arizona State University  , USA    
  51,219  ,  University of California - Irvine  , USA    
  52,226  ,  Georgetown University  , USA    
  53,231  ,  University of Illinois at Chicago  , USA    
  54,253  ,  Tufts University  , USA    
  55,262  ,  University of Arizona  , USA    
  56,262  ,  Rutgers - The State University of New Jersey  , USA    
  57,271  ,  University of Miami  , USA    
  58,285  ,  North Carolina State University  , USA    
  59,305  ,  University of Massachusetts - Amherst  , USA    
  60,312  ,  Indiana University at Bloomington  , USA    
  61,326  ,  University of Hawaii at Manoa  , USA    
  62,327  ,  Virginia Polytechnic Institute and State University  , USA    
  63,336  ,  George Washington University  , USA    
  64,340  ,  State University of New York at Buffalo  , USA    
  65,344  ,  Northeastern University  , USA    
  66,353  ,  University of Utah  , USA    
  67,359  ,  State University of New York at Stony Brook  , USA    
  68,359  ,  Yeshiva University  , USA    
  69,367  ,  University of California - Santa Cruz  , USA    
  70,372  ,  University of Kansas  , USA    
  71,377  ,  University of Connecticut  , USA    
  72,383  ,  Rensselaer Polytechnic Institute  , USA    
  73,392  ,  University of Colorado at Denver  , USA    
  74,398  ,  Wake Forest University  , USA    
  75,400  ,  Washington State University  , USA    
  76,407  ,  University of Tennessee - Knoxville  , USA    
  77,419  ,  Tulane University  , USA    
  78,421  ,  Illinois Institute of Technology  , USA    
  79,421  ,  University of Iowa  , USA    
  80,432  ,  Boston College  , USA    
  81,442  ,  Colorado State University  , USA    
  82,448  ,  Florida State University  , USA    
  83,454  ,  University of California - Riverside  , USA    
  84,460  ,  University of Maryland Baltimore County  , USA    
  85,461  ,  Oregon State University  , USA    
  86,468  ,  Brandeis University  , USA    
  87,474  ,  University of Georgia  , USA    
  88,484  ,  Wayne State University  , USA    
  89,491  ,  University of Delaware  , USA    
  90,501-510  ,  University of Texas at Dallas  , USA    
  91,511-520  ,  Iowa State University  , USA    
  92,531-540  ,  Clark University  , USA    
  93,551-560  ,  University of Missouri - Columbia  , USA    
  94,551-560  ,  Lehigh University  , USA    
  95,561-570  ,  University of Nebraska - Lincoln  , USA    
  96,561-570  ,  The New School  , USA    
  97,561-570  ,  University of Cincinnati  , USA    
  98,561-570  ,  Drexel University  , USA    
  99,561-570  ,  University of South Carolina  , USA    
  100,571-580  ,  University of Massachusetts at Boston  , USA    
  101,571-580  ,  University of Oklahoma  , USA    
  102,571-580  ,  University of Vermont  , USA    
  103,581-590  ,  Howard University  , USA    
  104,581-590  ,  Syracuse University  , USA    
  105,601-650  ,  American University  , USA    
  106,601-650  ,  University of South Florida  , USA    
  107,601-650  ,  University of Kentucky  , USA    
  108,601-650  ,  Smith College  , USA    
  109,601-650  ,  Worcester Polytechnic Institute  , USA    
  110,601-650  ,  Michigan Technological University  , USA    
  111,601-650  ,  University of New Mexico  , USA    
  112,601-650  ,  City University of New York  , USA    
  113,601-650  ,  Clarkson University  , USA    
  114,601-650  ,  University of Oregon  , USA    
  115,601-650  ,  College of William and Mary  , USA    
  116,601-650  ,  Virginia Commonwealth University  , USA    
  117,651-700  ,  University of Denver  , USA    
  118,651-700  ,  Indiana University-Purdue University of Indianapolis  , USA    
  119,651-700  ,  Louisiana State University  , USA    
