UNITID,SATVRMID,SATMTMID
100654,470,455
100663,620,608
100690,NULL,NULL
100706,669,695
100724,480,470
100751,605,605
100760,NULL,NULL
100812,NULL,NULL
100830,520,515
100858,615,620
100937,615,595
101028,NULL,NULL
101116,NULL,NULL
101143,NULL,NULL
101161,NULL,NULL
101189,545,535
101240,NULL,NULL
101277,NULL,NULL
101286,NULL,NULL
101295,NULL,NULL
101301,NULL,NULL
101365,NULL,NULL
101435,563,545
101453,NULL,NULL
101462,NULL,NULL
101471,NULL,NULL
101480,535,510
101505,NULL,NULL
101514,NULL,NULL
101541,NULL,NULL
101569,NULL,NULL
101587,480,460
101602,NULL,NULL
101648,605,595
101675,NULL,NULL
101693,565,520
101709,570,565
101736,NULL,NULL
101879,565,533
101897,NULL,NULL
101912,514,467
101994,NULL,NULL
102030,NULL,NULL
102049,595,565
102058,NULL,NULL
102067,NULL,NULL
102076,NULL,NULL
102094,570,555
102234,560,553
102270,NULL,NULL
102298,NULL,NULL
102313,NULL,NULL
102368,510,500
102377,509,480
102395,NULL,NULL
102429,NULL,NULL
102553,NULL,NULL
102580,NULL,NULL
102614,585,570
102632,NULL,NULL
102669,NULL,NULL
102711,NULL,NULL
102845,NULL,NULL
103501,NULL,NULL
103741,NULL,NULL
103893,NULL,NULL
103945,NULL,NULL
103954,NULL,NULL
103963,NULL,NULL
104090,NULL,NULL
104151,615,625
104160,NULL,NULL
104179,615,620
104188,NULL,NULL
104346,NULL,NULL
104391,NULL,NULL
104425,NULL,NULL
104434,NULL,NULL
104443,NULL,NULL
104568,NULL,NULL
104577,NULL,NULL
104586,NULL,NULL
104665,NULL,NULL
104708,NULL,NULL
104717,NULL,NULL
105145,NULL,NULL
105154,NULL,NULL
105206,NULL,NULL
105215,NULL,NULL
105297,NULL,NULL
105330,NULL,NULL
105349,NULL,NULL
105367,NULL,NULL
105428,NULL,NULL
105525,NULL,NULL
105534,NULL,NULL
105543,NULL,NULL
105589,NULL,NULL
105659,NULL,NULL
105668,NULL,NULL
105677,NULL,NULL
105747,NULL,NULL
105792,NULL,NULL
105899,500,485
106041,NULL,NULL
106111,NULL,NULL
106148,NULL,NULL
106245,NULL,NULL
106263,NULL,NULL
106306,NULL,NULL
106315,NULL,NULL
106324,NULL,NULL
106342,570,550
106351,NULL,NULL
106360,NULL,NULL
106397,610,600
106412,485,485
106449,NULL,NULL
106458,560,557
106467,NULL,NULL
106485,NULL,NULL
106494,NULL,NULL
106546,NULL,NULL
106625,NULL,NULL
106704,535,525
106713,469,492
106795,NULL,NULL
106810,NULL,NULL
106883,NULL,NULL
106892,NULL,NULL
106908,NULL,NULL
106980,NULL,NULL
106999,NULL,NULL
107044,590,575
107071,524,521
107080,635,620
107099,NULL,NULL
107123,NULL,NULL
107141,590,570
107220,NULL,NULL
107293,NULL,NULL
107318,NULL,NULL
107327,NULL,NULL
107442,NULL,NULL
107460,NULL,NULL
107488,NULL,NULL
107512,580,575
107521,NULL,NULL
107549,NULL,NULL
107558,480,480
107585,NULL,NULL
107600,NULL,NULL
107619,NULL,NULL
107637,NULL,NULL
107655,NULL,NULL
107664,NULL,NULL
107725,NULL,NULL
107743,NULL,NULL
107789,NULL,NULL
107831,NULL,NULL
107840,NULL,NULL
107877,450,520
107974,NULL,NULL
107983,529,538
107992,NULL,NULL
108065,NULL,NULL
108092,NULL,NULL
108232,NULL,NULL
108269,NULL,NULL
108649,NULL,NULL
108667,NULL,NULL
108807,NULL,NULL
108852,NULL,NULL
108861,NULL,NULL
108870,NULL,NULL
108977,NULL,NULL
109040,NULL,NULL
109086,NULL,NULL
109208,NULL,NULL
109350,NULL,NULL
109651,NULL,NULL
109721,NULL,NULL
109730,NULL,NULL
109785,575,570
109819,NULL,NULL
109907,NULL,NULL
109934,NULL,NULL
110060,NULL,NULL
110097,605,590
110194,NULL,NULL
110219,NULL,NULL
110246,NULL,NULL
110316,NULL,NULL
110334,NULL,NULL
110361,555,545
110370,NULL,NULL
110398,NULL,NULL
110404,750,795
110413,585,575
110422,660,680
110468,NULL,NULL
110486,NULL,NULL
110495,NULL,NULL
110510,505,495
110529,560,580
110538,550,540
110547,NULL,NULL
110556,520,515
110565,555,560
110574,NULL,NULL
110583,570,575
110592,495,490
110608,515,505
110617,520,520
110635,695,735
110644,630,660
110653,620,675
110662,695,720
110671,610,620
110680,665,705
110699,NULL,NULL
110705,665,690
110714,635,655
110778,NULL,NULL
110875,NULL,NULL
110918,NULL,NULL
111045,NULL,NULL
111054,NULL,NULL
111081,NULL,NULL
111188,NULL,NULL
111391,NULL,NULL
111434,NULL,NULL
111461,NULL,NULL
111513,NULL,NULL
111638,NULL,NULL
111708,NULL,NULL
111717,NULL,NULL
111726,NULL,NULL
111744,NULL,NULL
111762,NULL,NULL
111799,NULL,NULL
111887,NULL,NULL
111896,NULL,NULL
111920,NULL,NULL
111939,NULL,NULL
111948,640,645
111966,449,440
112075,545,555
112084,535,515
112093,NULL,NULL
112127,NULL,NULL
112172,NULL,NULL
112181,NULL,NULL
112190,NULL,NULL
112251,NULL,NULL
112260,700,735
112288,NULL,NULL
112367,NULL,NULL
112385,NULL,NULL
112394,NULL,NULL
112455,NULL,NULL
112525,NULL,NULL
112561,NULL,NULL
112570,NULL,NULL
112686,NULL,NULL
112826,NULL,NULL
113096,NULL,NULL
113111,NULL,NULL
113193,NULL,NULL
113218,NULL,NULL
113236,NULL,NULL
113333,NULL,NULL
113449,NULL,NULL
113537,NULL,NULL
113573,NULL,NULL
113582,NULL,NULL
113634,NULL,NULL
113698,565,560
113704,NULL,NULL
113856,NULL,NULL
113980,NULL,NULL
114114,NULL,NULL
114123,NULL,NULL
114266,NULL,NULL
114354,NULL,NULL
114390,NULL,NULL
114433,NULL,NULL
114460,NULL,NULL
114549,NULL,NULL
114585,NULL,NULL
114637,NULL,NULL
114716,NULL,NULL
114734,NULL,NULL
114761,NULL,NULL
114789,NULL,NULL
114813,525,515
114840,NULL,NULL
114859,NULL,NULL
114938,NULL,NULL
114947,NULL,NULL
115001,NULL,NULL
115010,NULL,NULL
115083,NULL,NULL
115126,NULL,NULL
115214,NULL,NULL
115296,NULL,NULL
115357,NULL,NULL
115393,NULL,NULL
115409,740,790
115658,NULL,NULL
115728,305,495
115746,NULL,NULL
115755,550,535
115773,NULL,NULL
115861,NULL,NULL
115931,NULL,NULL
116226,NULL,NULL
116350,NULL,NULL
116439,NULL,NULL
116563,NULL,NULL
116712,NULL,NULL
116846,NULL,NULL
117052,NULL,NULL
117104,516,485
117140,560,555
117168,NULL,NULL
117195,NULL,NULL
117238,NULL,NULL
117247,NULL,NULL
117274,NULL,NULL
117520,NULL,NULL
117557,NULL,NULL
117575,NULL,NULL
117627,520,510
117636,NULL,NULL
117645,NULL,NULL
117672,NULL,NULL
117690,NULL,NULL
117706,NULL,NULL
117715,NULL,NULL
117724,NULL,NULL
117733,NULL,NULL
117751,NULL,NULL
117788,NULL,NULL
117803,NULL,NULL
117867,NULL,NULL
117894,NULL,NULL
117946,660,660
117955,NULL,NULL
118134,NULL,NULL
118143,NULL,NULL
118161,NULL,NULL
118198,NULL,NULL
118347,NULL,NULL
118541,NULL,NULL
118684,NULL,NULL
118693,NULL,NULL
118718,NULL,NULL
118772,NULL,NULL
118888,590,558
118912,NULL,NULL
118930,NULL,NULL
118958,NULL,NULL
118976,NULL,NULL
118994,NULL,NULL
119058,NULL,NULL
119067,NULL,NULL
119137,NULL,NULL
119164,NULL,NULL
119173,530,515
119216,NULL,NULL
119270,NULL,NULL
119331,NULL,NULL
119553,NULL,NULL
119605,485,475
119678,NULL,NULL
119775,NULL,NULL
119845,NULL,NULL
119951,NULL,NULL
120069,NULL,NULL
120078,NULL,NULL
120087,NULL,NULL
120184,500,485
120254,690,700
120290,NULL,NULL
120342,NULL,NULL
120403,NULL,NULL
120421,NULL,NULL
120537,490,500
120661,NULL,NULL
120698,NULL,NULL
120768,NULL,NULL
120795,NULL,NULL
120838,NULL,NULL
120865,535,525
120883,605,635
120953,NULL,NULL
120971,NULL,NULL
121044,NULL,NULL
121150,655,685
121257,NULL,NULL
121275,NULL,NULL
121309,615,610
121345,720,745
121363,NULL,NULL
121433,NULL,NULL
121619,NULL,NULL
121628,NULL,NULL
121637,NULL,NULL
121691,590,580
121707,NULL,NULL
121859,NULL,NULL
121868,NULL,NULL
121886,NULL,NULL
121901,NULL,NULL
121992,NULL,NULL
122117,NULL,NULL
122180,NULL,NULL
122205,NULL,NULL
122296,NULL,NULL
122339,NULL,NULL
122375,NULL,NULL
122384,NULL,NULL
122409,605,610
122436,640,640
122454,NULL,NULL
122506,NULL,NULL
122597,525,520
122603,NULL,NULL
122612,615,615
122649,NULL,NULL
122658,NULL,NULL
122685,NULL,NULL
122728,545,535
122746,NULL,NULL
122755,565,575
122791,NULL,NULL
122834,NULL,NULL
122852,NULL,NULL
122889,NULL,NULL
122931,665,695
122977,NULL,NULL
123013,NULL,NULL
123095,NULL,NULL
123165,707,705
123217,NULL,NULL
123280,NULL,NULL
123299,NULL,NULL
123341,NULL,NULL
123350,NULL,NULL
123448,NULL,NULL
123457,520,515
123484,NULL,NULL
123493,NULL,NULL
123509,NULL,NULL
123527,NULL,NULL
123554,585,565
123563,NULL,NULL
123572,540,530
123633,NULL,NULL
123642,NULL,NULL
123651,540,525
123679,NULL,NULL
123800,NULL,NULL
123855,NULL,NULL
123916,NULL,NULL
123943,NULL,NULL
123952,NULL,NULL
123961,705,740
123970,NULL,NULL
124113,NULL,NULL
124283,NULL,NULL
124292,650,620
124487,NULL,NULL
124681,NULL,NULL
124706,NULL,NULL
124937,NULL,NULL
125028,NULL,NULL
125037,NULL,NULL
125091,NULL,NULL
125170,NULL,NULL
125231,NULL,NULL
125310,NULL,NULL
125462,NULL,NULL
125471,NULL,NULL
125499,NULL,NULL
125532,NULL,NULL
125718,NULL,NULL
125727,615,600
125763,574,555
125897,545,535
126012,NULL,NULL
126049,NULL,NULL
126076,NULL,NULL
126119,NULL,NULL
126164,NULL,NULL
126182,500,490
126207,NULL,NULL
126289,NULL,NULL
