UNITID,SATVRMID,SATMTMID
100654,475,465
100663,555,555
100690,NULL,NULL
100706,630,565
100724,480,465
100751,590,580
100760,NULL,NULL
100812,NULL,NULL
100830,540,525
100858,615,615
100937,570,560
101028,NULL,NULL
101116,NULL,NULL
101143,NULL,NULL
101161,NULL,NULL
101189,530,575
101240,NULL,NULL
101277,NULL,NULL
101286,NULL,NULL
101295,NULL,NULL
101301,NULL,NULL
101365,NULL,NULL
101435,540,534
101453,NULL,NULL
101462,NULL,NULL
101471,NULL,NULL
101480,445,475
101505,NULL,NULL
101514,NULL,NULL
101541,568,530
101569,NULL,NULL
101587,480,460
101602,NULL,NULL
101648,590,595
101675,NULL,NULL
101693,495,494
101709,NULL,NULL
101736,NULL,NULL
101879,560,540
101897,NULL,NULL
101912,425,551
101994,NULL,NULL
102030,NULL,NULL
102049,601,570
102058,NULL,NULL
102067,NULL,NULL
102076,NULL,NULL
102094,580,560
102234,550,550
102270,NULL,NULL
102298,NULL,NULL
102313,NULL,NULL
102368,535,518
102377,490,470
102395,NULL,NULL
102429,NULL,NULL
102553,NULL,NULL
102580,NULL,NULL
102614,585,575
102632,NULL,NULL
102669,NULL,NULL
102711,NULL,NULL
102845,NULL,NULL
103501,NULL,NULL
103741,NULL,NULL
103893,NULL,NULL
103909,NULL,NULL
103927,NULL,NULL
103945,NULL,NULL
103954,NULL,NULL
103963,NULL,NULL
104090,NULL,NULL
104151,620,625
104160,NULL,NULL
104179,595,595
104188,NULL,NULL
104346,NULL,NULL
104391,NULL,NULL
104425,NULL,NULL
104434,NULL,NULL
104443,NULL,NULL
104504,NULL,NULL
104568,NULL,NULL
104577,NULL,NULL
104586,NULL,NULL
104665,NULL,NULL
104708,NULL,NULL
104717,NULL,NULL
105145,NULL,NULL
105154,NULL,NULL
105206,NULL,NULL
105215,NULL,NULL
105297,NULL,NULL
105330,NULL,NULL
105349,NULL,NULL
105367,NULL,NULL
105428,NULL,NULL
105482,NULL,NULL
105525,NULL,NULL
105534,NULL,NULL
105543,NULL,NULL
105589,NULL,NULL
105659,NULL,NULL
105668,NULL,NULL
105677,NULL,NULL
105747,NULL,NULL
105792,NULL,NULL
105899,510,518
106041,NULL,NULL
106111,NULL,NULL
106148,NULL,NULL
106245,540,530
106263,NULL,NULL
106306,NULL,NULL
106315,NULL,NULL
106324,NULL,NULL
106342,564,550
106351,NULL,NULL
106360,NULL,NULL
106397,605,590
106412,490,475
106449,NULL,NULL
106458,549,564
106467,NULL,NULL
106485,NULL,NULL
106494,NULL,NULL
106546,NULL,NULL
106625,NULL,NULL
106704,530,540
106713,495,460
106795,NULL,NULL
106810,NULL,NULL
106829,NULL,NULL
106883,NULL,NULL
106892,NULL,NULL
106908,NULL,NULL
106980,NULL,NULL
106999,NULL,NULL
107044,600,580
107071,529,525
107080,650,625
107099,NULL,NULL
107123,NULL,NULL
107141,638,600
107220,NULL,NULL
107293,NULL,NULL
107318,NULL,NULL
107327,NULL,NULL
107442,NULL,NULL
107460,NULL,NULL
107488,NULL,NULL
107512,575,570
107521,NULL,NULL
107549,NULL,NULL
107558,515,535
107585,NULL,NULL
107600,NULL,NULL
107619,NULL,NULL
107637,NULL,NULL
107655,NULL,NULL
107664,NULL,NULL
107725,NULL,NULL
107743,NULL,NULL
107789,NULL,NULL
107831,NULL,NULL
107840,NULL,NULL
107877,510,510
107974,NULL,NULL
107983,565,545
107992,NULL,NULL
108065,NULL,NULL
108092,NULL,NULL
108232,NULL,NULL
108269,NULL,NULL
108348,NULL,NULL
108649,NULL,NULL
108667,NULL,NULL
108807,NULL,NULL
108852,NULL,NULL
108861,NULL,NULL
108870,NULL,NULL
108977,NULL,NULL
109040,NULL,NULL
109086,NULL,NULL
109208,NULL,NULL
109350,NULL,NULL
109651,NULL,NULL
109721,NULL,NULL
109730,NULL,NULL
109785,570,560
109819,NULL,NULL
109907,NULL,NULL
109934,NULL,NULL
110060,NULL,NULL
110097,590,570
110194,NULL,NULL
110219,NULL,NULL
110246,NULL,NULL
110316,NULL,NULL
110334,NULL,NULL
110361,560,535
110370,NULL,NULL
110398,NULL,NULL
110404,760,795
110413,585,575
110422,660,675
110468,NULL,NULL
110486,NULL,NULL
110495,NULL,NULL
110510,500,495
110529,565,575
110538,550,545
110547,NULL,NULL
110556,515,505
110565,565,565
110574,NULL,NULL
110583,570,575
110592,495,490
110608,520,510
110617,520,515
110635,695,730
110644,625,655
110653,625,675
110662,695,710
110671,605,615
110680,660,705
110699,NULL,NULL
110705,660,685
110714,635,660
110778,NULL,NULL
110875,NULL,NULL
110918,NULL,NULL
110936,NULL,NULL
111054,NULL,NULL
111081,NULL,NULL
111188,NULL,NULL
111391,NULL,NULL
111434,NULL,NULL
111461,NULL,NULL
111513,NULL,NULL
111638,NULL,NULL
111708,NULL,NULL
111717,NULL,NULL
111726,NULL,NULL
111744,NULL,NULL
