UNITID,SATVRMID,SATMTMID
100654,475,455
100663,614,595
100690,NULL,NULL
100706,645,655
100724,485,462
100751,600,600
100760,NULL,NULL
100812,NULL,NULL
100830,528,473
100858,620,620
100937,565,540
101028,NULL,NULL
101116,NULL,NULL
101143,NULL,NULL
101161,NULL,NULL
101189,553,545
101240,NULL,NULL
101277,NULL,NULL
101286,NULL,NULL
101295,NULL,NULL
101301,NULL,NULL
101365,NULL,NULL
101435,547,534
101453,NULL,NULL
101462,NULL,NULL
101471,NULL,NULL
101480,475,480
101505,NULL,NULL
101514,NULL,NULL
101541,510,650
101569,NULL,NULL
101587,NULL,NULL
101602,NULL,NULL
101648,605,595
101675,NULL,NULL
101693,NULL,NULL
101709,550,553
101736,NULL,NULL
101879,NULL,NULL
101897,NULL,NULL
101912,NULL,NULL
101994,NULL,NULL
102030,NULL,NULL
102049,590,560
102067,NULL,NULL
102076,NULL,NULL
102094,557,530
102234,540,535
102270,NULL,NULL
102298,NULL,NULL
102313,NULL,NULL
102368,520,500
102377,488,465
102395,NULL,NULL
102429,NULL,NULL
102553,NULL,NULL
102580,NULL,NULL
102614,585,575
102632,NULL,NULL
102669,NULL,NULL
102711,NULL,NULL
102845,NULL,NULL
103501,NULL,NULL
103741,NULL,NULL
103893,NULL,NULL
103909,NULL,NULL
103927,NULL,NULL
103954,NULL,NULL
103963,NULL,NULL
104090,NULL,NULL
104151,600,610
104160,NULL,NULL
104179,605,615
104346,NULL,NULL
104391,NULL,NULL
104425,NULL,NULL
104443,NULL,NULL
104568,NULL,NULL
104577,NULL,NULL
104586,610,620
104665,NULL,NULL
104708,NULL,NULL
104717,NULL,NULL
105145,NULL,NULL
105154,NULL,NULL
105206,NULL,NULL
105215,NULL,NULL
105297,NULL,NULL
105330,NULL,NULL
105349,NULL,NULL
105367,NULL,NULL
105428,NULL,NULL
105525,NULL,NULL
105534,NULL,NULL
105543,NULL,NULL
105589,618,575
105659,NULL,NULL
105668,NULL,NULL
105677,NULL,NULL
105747,NULL,NULL
105792,NULL,NULL
105899,523,505
106041,NULL,NULL
106111,NULL,NULL
106148,NULL,NULL
106245,540,540
106263,NULL,NULL
106306,NULL,NULL
106315,NULL,NULL
106324,NULL,NULL
106342,543,548
106351,NULL,NULL
106360,NULL,NULL
106397,595,590
106412,450,450
106449,NULL,NULL
106458,545,565
106467,NULL,NULL
106485,NULL,NULL
106494,NULL,NULL
106546,NULL,NULL
106625,NULL,NULL
106704,530,520
106713,495,495
106795,NULL,NULL
106810,NULL,NULL
106883,NULL,NULL
106892,NULL,NULL
106908,NULL,NULL
106980,NULL,NULL
106999,NULL,NULL
107044,595,580
107071,513,495
107080,NULL,NULL
107099,NULL,NULL
107123,NULL,NULL
107141,620,580
107220,NULL,NULL
107293,NULL,NULL
107318,NULL,NULL
107327,NULL,NULL
107442,NULL,NULL
107460,NULL,NULL
107488,NULL,NULL
107512,575,555
107521,NULL,NULL
107549,NULL,NULL
107558,540,550
107585,NULL,NULL
107600,NULL,NULL
107619,NULL,NULL
107637,NULL,NULL
107655,NULL,NULL
107664,NULL,NULL
107725,NULL,NULL
107743,NULL,NULL
107789,NULL,NULL
107831,NULL,NULL
107840,NULL,NULL
107877,585,560
107974,NULL,NULL
107983,NULL,NULL
107992,NULL,NULL
108065,NULL,NULL
108092,NULL,NULL
108232,NULL,NULL
108269,NULL,NULL
108667,NULL,NULL
108807,NULL,NULL
108852,NULL,NULL
108861,NULL,NULL
108870,NULL,NULL
108977,NULL,NULL
109040,NULL,NULL
109086,NULL,NULL
109208,NULL,NULL
109350,NULL,NULL
109651,NULL,NULL
109721,NULL,NULL
109730,NULL,NULL
109785,NULL,NULL
109819,NULL,NULL
109907,NULL,NULL
109934,NULL,NULL
110060,NULL,NULL
110097,595,585
110194,NULL,NULL
110219,NULL,NULL
110246,NULL,NULL
110316,NULL,NULL
110334,NULL,NULL
110361,530,525
110370,NULL,NULL
110398,NULL,NULL
110404,760,795
110413,580,575
110422,650,665
110468,NULL,NULL
110486,NULL,NULL
110495,NULL,NULL
110510,500,495
110529,555,575
110538,540,530
110547,NULL,NULL
110556,505,490
110565,545,545
110574,NULL,NULL
110583,565,565
110592,485,480
110608,510,495
110617,520,510
110635,695,725
110644,620,660
110653,640,690
110662,NULL,NULL
110671,585,595
110680,665,710
110699,NULL,NULL
110705,665,680
110714,625,635
110778,NULL,NULL
110875,NULL,NULL
110918,NULL,NULL
111045,NULL,NULL
111054,NULL,NULL
111081,NULL,NULL
111188,NULL,NULL
111391,NULL,NULL
111434,NULL,NULL
111461,NULL,NULL
111513,NULL,NULL
111638,NULL,NULL
111708,NULL,NULL
111717,NULL,NULL
111726,NULL,NULL
111744,NULL,NULL
111762,NULL,NULL
111799,NULL,NULL
111887,NULL,NULL
111896,NULL,NULL
111920,NULL,NULL
111939,NULL,NULL
111948,630,630
111966,NULL,NULL
112075,560,555
112084,500,499
112127,NULL,NULL
112172,NULL,NULL
112181,NULL,NULL
112190,NULL,NULL
112251,NULL,NULL
112260,695,720
112288,NULL,NULL
112367,NULL,NULL
112385,NULL,NULL
112394,NULL,NULL
