UNITID,SATVRMID,SATMTMID
114938,NULL,NULL
114947,NULL,NULL
115001,NULL,NULL
115010,NULL,NULL
115083,NULL,NULL
115126,NULL,NULL
115214,NULL,NULL
115296,NULL,NULL
115357,NULL,NULL
115393,NULL,NULL
115409,745,775
115658,NULL,NULL
115728,305,495
115746,NULL,NULL
115755,540,520
115773,NULL,NULL
115861,NULL,NULL
115931,NULL,NULL
116226,NULL,NULL
116350,NULL,NULL
116439,NULL,NULL
116563,NULL,NULL
116712,NULL,NULL
116846,NULL,NULL
117052,NULL,NULL
117104,529,484
117113,NULL,NULL
117140,555,552
117168,NULL,NULL
117195,NULL,NULL
117238,NULL,NULL
117247,NULL,NULL
117274,NULL,NULL
117520,NULL,NULL
117557,NULL,NULL
117575,NULL,NULL
117627,521,475
117636,NULL,NULL
117645,NULL,NULL
117672,NULL,NULL
117690,NULL,NULL
117706,NULL,NULL
117715,NULL,NULL
117724,NULL,NULL
117733,NULL,NULL
117751,580,555
117788,NULL,NULL
117803,NULL,NULL
117867,NULL,NULL
117894,NULL,NULL
117928,NULL,NULL
117946,640,630
117955,NULL,NULL
118134,NULL,NULL
118143,NULL,NULL
118161,NULL,NULL
118189,NULL,NULL
118198,NULL,NULL
118259,NULL,NULL
118277,NULL,NULL
118286,NULL,NULL
118347,NULL,NULL
118541,NULL,NULL
118684,NULL,NULL
118693,542,545
118718,NULL,NULL
118772,NULL,NULL
118888,NULL,NULL
118912,NULL,NULL
118930,NULL,NULL
118958,NULL,NULL
118967,NULL,NULL
118976,NULL,NULL
118994,NULL,NULL
119058,NULL,NULL
119067,NULL,NULL
119137,NULL,NULL
119164,NULL,NULL
119173,520,500
119216,NULL,NULL
119270,NULL,NULL
119331,NULL,NULL
119553,NULL,NULL
119605,NULL,NULL
119678,NULL,NULL
119775,NULL,NULL
119845,NULL,NULL
119951,NULL,NULL
120069,NULL,NULL
120078,NULL,NULL
120087,NULL,NULL
120184,510,500
120254,685,675
120290,NULL,NULL
120342,NULL,NULL
120403,NULL,NULL
120421,NULL,NULL
120537,500,505
120661,NULL,NULL
120698,NULL,NULL
120768,NULL,NULL
120795,NULL,NULL
120838,NULL,NULL
120865,535,515
120883,595,605
120953,NULL,NULL
120971,NULL,NULL
121044,NULL,NULL
121150,645,650
121257,NULL,NULL
121275,NULL,NULL
121309,605,590
121345,725,725
121363,NULL,NULL
121433,NULL,NULL
121619,NULL,NULL
121628,NULL,NULL
121637,NULL,NULL
121691,585,575
121707,NULL,NULL
121859,NULL,NULL
121868,NULL,NULL
121886,NULL,NULL
121901,NULL,NULL
121983,NULL,NULL
121992,NULL,NULL
122117,NULL,NULL
122180,NULL,NULL
122205,NULL,NULL
122296,NULL,NULL
122339,NULL,NULL
122366,NULL,NULL
122375,NULL,NULL
122384,NULL,NULL
122409,595,595
122436,630,635
122454,NULL,NULL
122506,NULL,NULL
122597,530,520
122603,NULL,NULL
122612,600,595
122649,NULL,NULL
122658,NULL,NULL
122685,NULL,NULL
122728,553,555
122746,NULL,NULL
122755,550,555
122791,NULL,NULL
122834,NULL,NULL
122852,NULL,NULL
122889,NULL,NULL
122931,670,685
122977,NULL,NULL
123013,NULL,NULL
123095,NULL,NULL
123165,695,680
123217,NULL,NULL
123280,NULL,NULL
123299,NULL,NULL
123341,NULL,NULL
123350,NULL,NULL
123448,NULL,NULL
123457,549,542
123484,NULL,NULL
123493,NULL,NULL
123509,NULL,NULL
123527,NULL,NULL
123554,585,565
123563,NULL,NULL
123572,545,530
123633,NULL,NULL
123642,NULL,NULL
123651,525,500
123679,NULL,NULL
123800,NULL,NULL
123855,NULL,NULL
123916,NULL,NULL
123943,NULL,NULL
123952,NULL,NULL
123961,690,710
123970,NULL,NULL
124113,NULL,NULL
124283,NULL,NULL
124292,670,620
124487,NULL,NULL
124681,NULL,NULL
124706,NULL,NULL
124937,NULL,NULL
125028,NULL,NULL
125037,NULL,NULL
125091,NULL,NULL
125170,NULL,NULL
125231,NULL,NULL
125310,NULL,NULL
125462,NULL,NULL
125471,NULL,NULL
125499,NULL,NULL
125532,NULL,NULL
125718,NULL,NULL
125727,640,615
125763,565,550
125897,550,522
126012,NULL,NULL
126030,NULL,NULL
126049,NULL,NULL
126076,NULL,NULL
126119,NULL,NULL
126164,NULL,NULL
126182,485,495
126207,NULL,NULL
126289,NULL,NULL
126359,NULL,NULL
126401,NULL,NULL
126562,590,580
126580,580,565
126605,NULL,NULL
126614,620,625
126669,NULL,NULL
126678,NULL,NULL
126687,NULL,NULL
126702,NULL,NULL
126711,NULL,NULL
126748,NULL,NULL
126775,675,705
126784,NULL,NULL
126818,605,595
126827,NULL,NULL
126863,NULL,NULL
126872,NULL,NULL
126915,NULL,NULL
126942,NULL,NULL
126951,NULL,NULL
126979,NULL,NULL
127060,635,620
127158,NULL,NULL
127185,560,555
127200,NULL,NULL
127219,NULL,NULL
127273,NULL,NULL
127316,NULL,NULL
127389,NULL,NULL
127556,540,534
127565,515,500
127617,NULL,NULL
127653,NULL,NULL
127680,NULL,NULL
127714,NULL,NULL
127732,NULL,NULL
127741,570,550
127778,NULL,NULL
127787,NULL,NULL
127820,NULL,NULL
127884,NULL,NULL
127909,NULL,NULL
127918,597,572
127945,NULL,NULL
127954,NULL,NULL
128106,525,515
128151,NULL,NULL
128179,NULL,NULL
128188,NULL,NULL
128258,NULL,NULL
128328,645,655
128337,NULL,NULL
128391,545,550
128498,475,455
128540,NULL,NULL
128577,NULL,NULL
128586,NULL,NULL
128674,NULL,NULL
128683,NULL,NULL
128744,485,470
128771,545,525
128780,NULL,NULL
128896,NULL,NULL
128902,NULL,NULL
129002,NULL,NULL
129020,640,660
129154,NULL,NULL
129181,NULL,NULL
129215,NULL,NULL
129242,NULL,NULL
129349,NULL,NULL
129367,NULL,NULL
129428,NULL,NULL
129482,NULL,NULL
129491,NULL,NULL
129525,570,560
129534,NULL,NULL
129543,NULL,NULL
129695,NULL,NULL
129729,NULL,NULL
129756,NULL,NULL
129774,NULL,NULL
129808,NULL,NULL
129923,NULL,NULL
129932,NULL,NULL
129941,560,550
130004,NULL,NULL
130040,NULL,NULL
130110,NULL,NULL
130174,NULL,NULL
130183,NULL,NULL
130217,NULL,NULL
130226,590,580
130253,NULL,NULL
130314,545,520
130396,NULL,NULL
130448,490,470
130493,525,500
130509,NULL,NULL
130581,NULL,NULL
130590,665,675
130606,NULL,NULL
130624,620,642
130697,NULL,NULL
130776,NULL,NULL
130785,NULL,NULL
130794,755,765
130837,NULL,NULL
130873,NULL,NULL
130907,NULL,NULL
130934,460,445
130943,615,615
130989,NULL,NULL
131061,NULL,NULL
131098,430,470
131113,NULL,NULL
131159,650,615
131283,NULL,NULL
131399,NULL,NULL
131405,NULL,NULL
131450,473,485
131469,680,680
131496,720,715
131520,600,590
131803,NULL,NULL
131830,NULL,NULL
131876,NULL,NULL
131973,NULL,NULL
132268,NULL,NULL
132338,NULL,NULL
132374,NULL,NULL
132408,435,415
132471,515,455
132602,NULL,NULL
132657,NULL,NULL
132675,NULL,NULL
132693,NULL,NULL
132709,NULL,NULL
132842,NULL,NULL
132851,NULL,NULL
132879,505,465
132903,620,615
132976,NULL,NULL
133021,NULL,NULL
133155,NULL,NULL
133386,NULL,NULL
133465,NULL,NULL
133492,595,565
133508,NULL,NULL
133526,440,440
133553,595,600
133650,540,530
133669,580,560
133702,NULL,NULL
133711,560,485
133809,300,540
133845,NULL,NULL
133854,NULL,NULL
133863,NULL,NULL
133872,505,479
133881,595,630
133942,NULL,NULL
133951,590,570
133960,NULL,NULL
133979,NULL,NULL
133997,NULL,NULL
134024,NULL,NULL
134079,590,570
134097,635,625
134112,NULL,NULL
134130,665,655
134228,NULL,NULL
134237,NULL,NULL
134291,NULL,NULL
134307,NULL,NULL
134343,NULL,NULL
134422,NULL,NULL
134495,NULL,NULL
134510,NULL,NULL
134529,NULL,NULL
134574,NULL,NULL
134608,NULL,NULL
134680,NULL,NULL
134714,NULL,NULL
134811,NULL,NULL
134945,511,530
135081,NULL,NULL
135142,NULL,NULL
135160,NULL,NULL
135179,NULL,NULL
135188,NULL,NULL
135267,NULL,NULL
135276,NULL,NULL
135294,NULL,NULL
135337,NULL,NULL
135364,NULL,NULL
135391,NULL,NULL
135407,NULL,NULL
135522,NULL,NULL
135559,NULL,NULL
135610,NULL,NULL
135647,NULL,NULL
135717,NULL,NULL
135726,660,665
135735,NULL,NULL
135771,NULL,NULL
136109,NULL,NULL
136145,NULL,NULL
136172,605,580
136215,595,585
136233,NULL,NULL
136303,NULL,NULL
136330,555,535
136358,NULL,NULL
136400,NULL,NULL
136473,NULL,NULL
136491,NULL,NULL
136516,NULL,NULL
136659,NULL,NULL
136701,NULL,NULL
136765,NULL,NULL
136774,NULL,NULL
136783,NULL,NULL
136826,NULL,NULL
136950,NULL,NULL
137023,NULL,NULL
137032,475,540
137078,NULL,NULL
137087,NULL,NULL
137096,NULL,NULL
137120,NULL,NULL
137148,NULL,NULL
137209,NULL,NULL
137245,NULL,NULL
137272,NULL,NULL
137281,NULL,NULL
137315,NULL,NULL
137351,615,615
137476,470,500
137546,NULL,NULL
137564,545,515
137591,NULL,NULL
137713,NULL,NULL
137759,NULL,NULL
137777,NULL,NULL
137801,NULL,NULL
137847,580,570
137856,NULL,NULL
137865,NULL,NULL
137953,468,450
137962,460,450
138132,NULL,NULL
138187,NULL,NULL
138275,465,475
138284,NULL,NULL
138293,508,498
138309,NULL,NULL
138354,590,570
138372,NULL,NULL
138479,NULL,NULL
138488,NULL,NULL
138497,NULL,NULL
138558,520,495
138600,NULL,NULL
138655,NULL,NULL
138664,NULL,NULL
138682,NULL,NULL
138716,NULL,NULL
138761,460,450
138789,540,510
138813,NULL,NULL
138822,NULL,NULL
138840,NULL,NULL
138868,480,485
138901,NULL,NULL
138929,NULL,NULL
138938,NULL,NULL
138947,505,485
138956,NULL,NULL
139010,NULL,NULL
139144,615,595
139153,NULL,NULL
139199,515,475
139205,480,485
139214,NULL,NULL
139250,510,480
139278,NULL,NULL
139287,NULL,NULL
139311,NULL,NULL
139348,NULL,NULL
139357,NULL,NULL
139366,495,475
139384,NULL,NULL
139393,640,600
139463,NULL,NULL
139506,NULL,NULL
139579,NULL,NULL
139621,NULL,NULL
139630,520,510
139658,705,730
139700,NULL,NULL
139719,290,274
139746,NULL,NULL
139755,550,755
139764,530,505
139861,600,580
139931,595,570
139940,575,555
139959,650,635
139968,480,455
139986,NULL,NULL
139995,NULL,NULL
140003,NULL,NULL
140012,NULL,NULL
140146,NULL,NULL
140234,555,540
140243,NULL,NULL
140252,478,470
140331,NULL,NULL
140340,NULL,NULL
140447,630,625
140553,535,520
140562,NULL,NULL
140678,NULL,NULL
140696,620,590
140720,425,410
140818,535,505
140827,NULL,NULL
140872,525,505
140942,NULL,NULL
140951,580,550
140960,475,460
140988,495,490
141006,NULL,NULL
141015,NULL,NULL
141060,588,555
141167,NULL,NULL
141185,540,495
141237,520,500
141255,NULL,NULL
141264,540,515
141325,570,535
141334,535,470
141361,545,529
141486,545,525
141565,540,530
141574,575,570
141608,NULL,NULL
141644,560,540
141680,NULL,NULL
141796,NULL,NULL
141802,NULL,NULL
141811,NULL,NULL
141839,NULL,NULL
141848,NULL,NULL
141936,NULL,NULL
141945,NULL,NULL
141981,500,490
141990,NULL,NULL
142054,NULL,NULL
142090,550,525
142115,525,525
142179,NULL,NULL
142276,NULL,NULL
142285,565,555
142294,NULL,NULL
142328,515,500
142407,NULL,NULL
142416,NULL,NULL
142443,NULL,NULL
142461,580,550
142489,NULL,NULL
142522,550,535
142559,NULL,NULL
142832,NULL,NULL
142887,NULL,NULL
142957,NULL,NULL
143048,625,600
143084,NULL,NULL
143118,525,515
143181,NULL,NULL
143215,NULL,NULL
143233,NULL,NULL
143279,NULL,NULL
143288,483,425
143297,NULL,NULL
143303,NULL,NULL
143358,595,590
143376,NULL,NULL
143464,NULL,NULL
143473,NULL,NULL
143482,NULL,NULL
143491,NULL,NULL
143516,NULL,NULL
143543,NULL,NULL
143552,NULL,NULL
143613,NULL,NULL
143659,NULL,NULL
143695,NULL,NULL
143853,NULL,NULL
143978,NULL,NULL
144005,483,425
144014,NULL,NULL
144050,755,775
144157,NULL,NULL
144166,NULL,NULL
144175,NULL,NULL
144184,NULL,NULL
144193,NULL,NULL
144209,NULL,NULL
144218,NULL,NULL
144281,NULL,NULL
144351,545,530
144485,NULL,NULL
144564,NULL,NULL
144573,NULL,NULL
144740,NULL,NULL
144795,NULL,NULL
144865,NULL,NULL
144883,NULL,NULL
144892,NULL,NULL
144944,NULL,NULL
144962,545,553
144971,545,520
145099,NULL,NULL
145239,NULL,NULL
145275,NULL,NULL
145309,NULL,NULL
145336,454,490
145354,NULL,NULL
145372,510,490
145406,NULL,NULL
145424,NULL,NULL
145433,NULL,NULL
